timestamp,open,high,low,close,source
2026-05-30T18:15:00Z,3340.0,3341.24,3339.069,3341.204,preloaded
2026-05-30T18:30:00Z,3341.204,3342.585,3340.555,3341.12,preloaded
2026-05-30T18:45:00Z,3341.12,3341.501,3339.732,3340.477,preloaded
2026-05-30T19:00:00Z,3340.477,3341.054,3338.809,3339.195,preloaded
2026-05-30T19:15:00Z,3339.195,3339.395,3338.135,3338.986,preloaded
2026-05-30T19:30:00Z,3338.986,3340.133,3338.441,3338.838,preloaded
2026-05-30T19:45:00Z,3338.838,3341.341,3338.188,3340.803,preloaded
2026-05-30T20:00:00Z,3340.803,3342.169,3340.21,3341.695,preloaded
2026-05-30T20:15:00Z,3341.695,3342.433,3340.654,3341.704,preloaded
2026-05-30T20:30:00Z,3341.704,3343.17,3341.345,3342.483,preloaded
2026-05-30T20:45:00Z,3342.483,3342.829,3340.046,3340.607,preloaded
2026-05-30T21:00:00Z,3340.607,3341.23,3339.239,3339.58,preloaded
2026-05-30T21:15:00Z,3339.58,3339.844,3337.0,3337.487,preloaded
2026-05-30T21:30:00Z,3337.487,3338.67,3337.042,3338.247,preloaded
2026-05-30T21:45:00Z,3338.247,3339.484,3337.412,3338.882,preloaded
2026-05-30T22:00:00Z,3338.882,3339.231,3337.474,3338.753,preloaded
2026-05-30T22:15:00Z,3338.753,3338.853,3335.698,3336.184,preloaded
2026-05-30T22:30:00Z,3336.184,3336.972,3335.233,3335.774,preloaded
2026-05-30T22:45:00Z,3335.774,3336.023,3334.041,3334.704,preloaded
2026-05-30T23:00:00Z,3334.704,3335.395,3334.103,3334.328,preloaded
2026-05-30T23:15:00Z,3334.328,3335.028,3333.83,3334.891,preloaded
2026-05-30T23:30:00Z,3334.891,3336.434,3334.871,3336.032,preloaded
2026-05-30T23:45:00Z,3336.032,3336.524,3335.556,3336.046,preloaded
2026-05-31T00:00:00Z,3336.046,3337.381,3335.236,3336.553,preloaded
2026-05-31T00:15:00Z,3336.553,3337.592,3335.563,3336.207,preloaded
2026-05-31T00:30:00Z,3336.207,3337.771,3335.778,3337.167,preloaded
