time,open,high,low,close,volume
2026-05-20 00:00:00,2320.0,2320.527,2319.069,2320.241,792
2026-05-20 00:05:00,2320.241,2320.983,2319.912,2320.611,367
2026-05-20 00:10:00,2320.611,2321.24,2320.408,2321.204,683
2026-05-20 00:15:00,2321.204,2322.585,2320.625,2322.167,706
2026-05-20 00:20:00,2322.167,2322.32,2320.555,2321.149,213
2026-05-20 00:25:00,2321.149,2321.695,2321.079,2321.12,228
2026-05-20 00:30:00,2321.12,2321.501,2320.375,2320.465,539
2026-05-20 00:35:00,2320.465,2320.732,2320.102,2320.448,248
2026-05-20 00:40:00,2320.448,2321.143,2319.732,2320.477,397
2026-05-20 00:45:00,2320.477,2321.054,2319.525,2320.027,127
2026-05-20 00:50:00,2320.027,2320.389,2319.498,2320.17,764
2026-05-20 00:55:00,2320.17,2320.774,2318.809,2319.195,636
2026-05-20 01:00:00,2319.195,2319.279,2318.46,2318.792,628
2026-05-20 01:05:00,2318.792,2318.951,2318.431,2318.592,713
2026-05-20 01:10:00,2318.592,2319.395,2318.135,2318.986,228
2026-05-20 01:15:00,2318.986,2320.133,2318.6,2319.386,479
2026-05-20 01:20:00,2319.386,2319.595,2318.8,2319.25,728
2026-05-20 01:25:00,2319.25,2319.643,2318.441,2318.838,618
2026-05-20 01:30:00,2318.838,2321.157,2318.188,2320.859,526
2026-05-20 01:35:00,2320.859,2321.341,2320.343,2320.815,848
2026-05-20 01:40:00,2320.815,2321.165,2320.478,2320.803,321
2026-05-20 01:45:00,2320.803,2321.339,2320.21,2320.963,728
2026-05-20 01:50:00,2320.963,2322.116,2320.622,2321.727,495
2026-05-20 01:55:00,2321.727,2322.169,2321.372,2321.695,641
2026-05-20 02:00:00,2321.695,2322.433,2321.115,2321.774,269
2026-05-20 02:05:00,2321.774,2322.092,2320.972,2321.312,850
2026-05-20 02:10:00,2321.312,2321.73,2320.654,2321.704,719
2026-05-20 02:15:00,2321.704,2322.429,2321.345,2322.28,781
2026-05-20 02:20:00,2322.28,2323.17,2321.647,2322.762,778
2026-05-20 02:25:00,2322.762,2322.968,2322.317,2322.483,894
2026-05-20 02:30:00,2322.483,2322.829,2321.582,2321.662,369
2026-05-20 02:35:00,2321.662,2322.383,2320.859,2321.311,890
2026-05-20 02:40:00,2321.311,2321.534,2320.046,2320.607,243
2026-05-20 02:45:00,2320.607,2321.23,2319.924,2320.383,122
2026-05-20 02:50:00,2320.383,2320.781,2319.711,2320.172,197
2026-05-20 02:55:00,2320.172,2320.544,2319.239,2319.58,869
2026-05-20 03:00:00,2319.58,2319.844,2318.402,2318.48,642
2026-05-20 03:05:00,2318.48,2318.935,2317.924,2318.373,512
2026-05-20 03:10:00,2318.373,2318.768,2317.0,2317.487,715
2026-05-20 03:15:00,2317.487,2317.773,2317.042,2317.495,633
2026-05-20 03:20:00,2317.495,2318.67,2317.436,2318.226,614
2026-05-20 03:25:00,2318.226,2318.647,2317.912,2318.247,272
2026-05-20 03:30:00,2318.247,2318.684,2318.137,2318.267,826
2026-05-20 03:35:00,2318.267,2318.638,2317.785,2318.104,555
2026-05-20 03:40:00,2318.104,2319.484,2317.412,2318.882,618
2026-05-20 03:45:00,2318.882,2319.221,2317.502,2318.124,838
2026-05-20 03:50:00,2318.124,2319.038,2317.474,2318.813,715
2026-05-20 03:55:00,2318.813,2319.231,2318.059,2318.753,282
2026-05-20 04:00:00,2318.753,2318.853,2317.651,2317.716,548
2026-05-20 04:05:00,2317.716,2318.185,2316.43,2316.586,571
2026-05-20 04:10:00,2316.586,2317.39,2315.698,2316.184,770
2026-05-20 04:15:00,2316.184,2316.972,2315.554,2316.457,834
2026-05-20 04:20:00,2316.457,2316.9,2315.641,2316.03,549
2026-05-20 04:25:00,2316.03,2316.588,2315.233,2315.774,707
2026-05-20 04:30:00,2315.774,2316.023,2314.518,2314.889,848
2026-05-20 04:35:00,2314.889,2315.572,2314.534,2315.005,144
2026-05-20 04:40:00,2315.005,2315.437,2314.041,2314.704,608
2026-05-20 04:45:00,2314.704,2314.954,2314.103,2314.476,839
2026-05-20 04:50:00,2314.476,2315.395,2314.118,2315.001,383
2026-05-20 04:55:00,2315.001,2315.34,2314.152,2314.328,225
2026-05-20 05:00:00,2314.328,2314.726,2313.83,2314.449,803
2026-05-20 05:05:00,2314.449,2314.676,2313.831,2314.412,300
2026-05-20 05:10:00,2314.412,2315.028,2313.994,2314.891,139
2026-05-20 05:15:00,2314.891,2315.188,2314.871,2314.982,257
2026-05-20 05:20:00,2314.982,2315.857,2314.977,2315.729,310
2026-05-20 05:25:00,2315.729,2316.434,2315.259,2316.032,356
2026-05-20 05:30:00,2316.032,2316.524,2315.556,2315.962,711
2026-05-20 05:35:00,2315.962,2316.466,2315.705,2315.963,309
2026-05-20 05:40:00,2315.963,2316.091,2315.656,2316.046,839
2026-05-20 05:45:00,2316.046,2316.328,2315.65,2315.971,751
2026-05-20 05:50:00,2315.971,2316.581,2315.236,2316.344,148
2026-05-20 05:55:00,2316.344,2317.381,2315.543,2316.553,704
2026-05-20 06:00:00,2316.553,2316.816,2315.934,2316.266,798
2026-05-20 06:05:00,2316.266,2317.151,2315.864,2316.91,810
2026-05-20 06:10:00,2316.91,2317.592,2315.563,2316.207,102
2026-05-20 06:15:00,2316.207,2316.664,2315.778,2316.316,163
2026-05-20 06:20:00,2316.316,2316.841,2315.825,2316.45,657
2026-05-20 06:25:00,2316.45,2317.771,2316.37,2317.167,311
2026-05-20 06:30:00,2317.167,2318.134,2317.009,2317.718,723
2026-05-20 06:35:00,2317.718,2318.544,2317.074,2317.92,116
2026-05-20 06:40:00,2317.92,2318.28,2317.072,2317.7,387
2026-05-20 06:45:00,2317.7,2317.722,2316.974,2317.488,405
2026-05-20 06:50:00,2317.488,2317.988,2317.097,2317.671,322
2026-05-20 06:55:00,2317.671,2318.61,2317.057,2317.937,868
2026-05-20 07:00:00,2317.937,2318.185,2317.18,2317.464,532
2026-05-20 07:05:00,2317.464,2318.334,2317.228,2317.76,522
2026-05-20 07:10:00,2317.76,2317.908,2316.639,2317.516,723
2026-05-20 07:15:00,2317.516,2318.763,2317.039,2318.307,368
2026-05-20 07:20:00,2318.307,2318.874,2317.716,2318.627,109
2026-05-20 07:25:00,2318.627,2319.27,2318.036,2318.481,362
2026-05-20 07:30:00,2318.481,2318.734,2317.559,2317.828,348
2026-05-20 07:35:00,2317.828,2318.255,2317.298,2317.851,196
2026-05-20 07:40:00,2317.851,2318.9,2317.41,2318.515,551
2026-05-20 07:45:00,2318.515,2318.607,2318.032,2318.583,371
2026-05-20 07:50:00,2318.583,2319.229,2318.3,2319.03,813
2026-05-20 07:55:00,2319.03,2319.615,2317.965,2318.199,762
2026-05-20 08:00:00,2318.199,2318.495,2316.919,2317.444,584
2026-05-20 08:05:00,2317.444,2318.033,2317.071,2317.66,657
2026-05-20 08:10:00,2317.66,2318.386,2317.013,2317.744,441
2026-05-20 08:15:00,2317.744,2318.169,2317.515,2317.861,178
2026-05-20 08:20:00,2317.861,2319.559,2317.492,2318.955,468
2026-05-20 08:25:00,2318.955,2319.905,2318.256,2319.189,744
2026-05-20 08:30:00,2319.189,2319.806,2317.666,2318.006,799
2026-05-20 08:35:00,2318.006,2318.295,2317.13,2317.446,300
2026-05-20 08:40:00,2317.446,2318.053,2317.386,2317.812,667
2026-05-20 08:45:00,2317.812,2318.107,2317.134,2317.596,805
2026-05-20 08:50:00,2317.596,2317.603,2316.302,2316.726,465
2026-05-20 08:55:00,2316.726,2317.727,2316.067,2317.281,814
2026-05-20 09:00:00,2317.281,2318.02,2316.261,2316.986,786
2026-05-20 09:05:00,2316.986,2317.242,2316.539,2316.994,423
2026-05-20 09:10:00,2316.994,2317.475,2316.055,2316.71,360
2026-05-20 09:15:00,2316.71,2316.832,2315.278,2315.943,352
2026-05-20 09:20:00,2315.943,2316.995,2315.072,2316.312,767
2026-05-20 09:25:00,2316.312,2316.638,2315.723,2316.424,503
2026-05-20 09:30:00,2316.424,2316.722,2315.462,2315.685,568
2026-05-20 09:35:00,2315.685,2316.245,2314.618,2315.281,491
2026-05-20 09:40:00,2315.281,2316.307,2314.695,2315.921,763
2026-05-20 09:45:00,2315.921,2316.746,2315.694,2316.454,619
2026-05-20 09:50:00,2316.454,2317.044,2315.603,2316.373,802
2026-05-20 09:55:00,2316.373,2316.854,2314.82,2315.132,159
2026-05-20 10:00:00,2315.132,2315.548,2314.537,2314.914,615
2026-05-20 10:05:00,2314.914,2315.701,2314.624,2315.352,152
2026-05-20 10:10:00,2315.352,2316.772,2315.213,2316.34,524
2026-05-20 10:15:00,2316.34,2318.128,2315.552,2317.495,459
2026-05-20 10:20:00,2317.495,2317.909,2316.362,2317.254,341
2026-05-20 10:25:00,2317.254,2317.953,2316.062,2316.337,226
2026-05-20 10:30:00,2316.337,2318.141,2316.17,2317.457,592
2026-05-20 10:35:00,2317.457,2317.942,2316.971,2317.727,778
2026-05-20 10:40:00,2317.727,2318.807,2317.161,2318.53,217
2026-05-20 10:45:00,2318.53,2318.981,2317.838,2318.174,192
2026-05-20 10:50:00,2318.174,2318.951,2317.836,2318.407,172
2026-05-20 10:55:00,2318.407,2319.038,2317.992,2318.501,628
2026-05-20 11:00:00,2318.501,2318.511,2318.19,2318.305,614
2026-05-20 11:05:00,2318.305,2320.322,2318.067,2319.837,581
2026-05-20 11:10:00,2319.837,2320.381,2319.112,2319.458,759
2026-05-20 11:15:00,2319.458,2320.442,2319.104,2320.146,607
2026-05-20 11:20:00,2320.146,2320.805,2319.374,2320.006,589
2026-05-20 11:25:00,2320.006,2320.818,2319.551,2320.539,400
2026-05-20 11:30:00,2320.539,2321.25,2320.347,2320.724,543
2026-05-20 11:35:00,2320.724,2321.142,2319.809,2320.229,205
2026-05-20 11:40:00,2320.229,2321.432,2319.702,2320.905,233
2026-05-20 11:45:00,2320.905,2322.132,2320.44,2321.858,119
